date,ex_mkt,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10
201809,0.06,0.6948,-7.5392,3.3301,-0.3798,-1.0931,-3.2683,-3.5602,-1.6448,-3.2427,-2.0782,-3.8605,-4.5176,0.3144,-3.3057,-8.3773,-3.9694,-4.1926,-3.9914,-0.8818,-3.1678,-4.4758,-4.6218,-3.5802,-0.9265,-3.7071,-5.0616,-3.6694,-2.9204,-3.4338,-2.611,-2.1685,2.0516,-1.1033,0.1462,-1.509,-2.9846,-1.8001,-4.3798,-1.6534,2.2916,-3.0826,0.9901,-1.3216,-1.7308,-1.8427,-2.7883,-4.6469,-4.7385,-3.5935,1.2322,-3.662,-0.822,-0.3238,-0.3174,0.1105,-6.7623,-3.0254,-3.353,-4.8271,0.0002
201810,-7.68,-11.6598,-12.016,-20.9317,-14.8489,-11.5483,-8.8565,-10.2305,-8.0135,-7.5109,-10.023,-16.3403,-12.7116,-15.6041,-12.4721,-12.5594,-11.214,-11.8521,-8.9576,-7.1824,-7.8577,-15.7178,-10.1127,-11.9943,-13.8618,-14.005,-11.4751,-9.1233,-7.5255,-7.8041,-14.3699,-9.849,-13.8485,-13.1469,-11.1371,-13.4421,-10.4148,-12.3832,-14.4485,-6.0051,-7.808,-16.6946,-15.8998,-10.2106,-12.0598,-11.2266,-10.0436,-8.1184,-8.907,-10.0872,-8.1094,-11.4384,-12.1036,-12.6051,-8.9501,-5.3153,-8.536,-5.8276,-9.8115,-8.1946,-9.6226
201811,1.69,-5.5374,-2.93,1.0421,-0.2241,-1.5167,-2.4684,-3.3158,0.2276,-0.8085,-4.0681,-2.2108,4.934,-1.2982,0.829,3.0426,-0.9451,-0.9303,2.1987,-2.7821,-5.8035,-1.2431,4.8195,-0.5883,-0.1759,0.6222,3.9905,-0.638,4.0638,-0.5771,2.7593,1.5253,5.7689,4.9234,3.3541,6.223,1.9095,2.1383,2.1658,-1.367,4.1566,1.6498,-2.106,-1.8843,3.1802,2.8149,6.2067,4.2279,1.2761,1.3853,3.1438,-0.8183,2.1445,6.1629,2.3993,0.0185,3.2297,2.4443,2.0055,0.1684,-11.0596
201812,-9.55,-13.3274,-16.9983,-17.6682,-14.6446,-13.1667,-10.4622,-13.1888,-9.8357,-9.345,-15.2959,-15.2417,-8.8979,-15.3503,-8.6508,-7.8733,-12.5944,-12.8641,-11.291,-12.0925,-12.9142,-11.8524,-12.0655,-12.0947,-8.7575,-9.2512,-12.7587,-12.2443,-11.7582,-10.6987,-14.4774,-11.2543,-14.3794,-12.5706,-11.162,-11.6429,-13.3796,-12.2787,-14.3,-10.8171,-13.594,-8.2024,-14.3884,-9.7874,-13.2898,-14.5326,-12.1782,-10.7899,-14.3149,-14.3618,-10.954,-10.4455,-12.1598,-8.6224,-11.597,-10.7356,-6.8882,-10.3429,-11.9307,-13.5768,-21.1489
201901,8.41,15.2354,16.3673,16.3341,10.6791,11.0987,9.6497,8.7203,6.3629,8.6346,13.8136,9.6539,8.7042,10.5522,8.5891,11.1252,9.1831,8.491,10.2685,11.134,10.4749,12.0152,10.5148,11.4554,11.0469,9.6035,8.6278,9.4771,9.694,12.7709,9.921,12.7249,9.0034,12.2574,11.4777,8.0836,12.1559,12.228,10.5674,9.1352,9.4662,19.5459,15.6756,12.8449,8.996,13.8024,12.6113,7.2777,10.9504,15.3404,12.4494,14.5046,10.5911,6.3916,11.465,10.4685,9.6015,9.8894,13.9348,12.4563,15.9961
201902,3.4,8.6525,8.9874,-0.2625,6.2378,5.882,6.0455,3.5947,5.7478,5.6722,6.2408,9.8927,2.8217,8.5155,5.4082,7.011,6.3017,4.5793,5.2243,3.945,1.0079,7.3569,4.1569,7.6299,3.3785,8.7224,5.8445,4.3428,5.7474,2.9984,4.0551,6.625,6.7546,10.4294,4.6359,1.5251,5.6716,2.556,8.0693,-0.623,-2.629,4.7163,8.2555,3.0532,7.0447,5.4929,3.6953,5.149,3.4371,3.6597,-2.1686,10.364,4.4079,4.0605,7.8708,5.5708,4.5902,2.0006,5.103,5.168,1.5046
201903,1.1,0.7817,2.6659,1.3311,-4.9417,-3.8259,-1.5162,-1.9271,-3.4216,-2.7595,-5.2116,-0.428,1.1239,4.067,-3.5641,-3.9027,-2.2115,-5.2042,-7.0217,-1.4905,-4.288,0.1408,-1.2725,1.0524,-2.7046,-0.5979,-3.5555,-6.5954,-4.8657,-3.663,-5.5773,-0.2891,-0.1836,-2.7866,-1.2446,-2.1167,-3.8733,-3.1049,-9.0239,-4.185,2.7285,0.2925,-1.5495,-3.5181,-0.8982,-1.9416,-6.2249,-2.6752,-3.3356,-2.3001,-5.733,-2.0262,-1.4255,0.0133,-1.2291,1.5541,-1.4012,0.5818,-4.1831,-4.3084,-2.2463
201904,3.96,-0.1765,-0.2254,1.1165,1.5201,2.2732,1.7355,2.3152,2.0987,2.4463,0.1387,2.0572,0.3712,2.056,1.1214,2.0607,1.7649,6.4006,4.0217,0.3692,5.3014,0.2127,3.461,4.7412,4.4692,3.6264,5.8298,5.7382,2.3606,4.1644,2.566,3.0336,4.6938,1.1901,-0.6374,2.3332,3.7819,3.9033,3.5075,1.1569,1.3411,2.3259,0.4185,3.6548,3.7851,7.3624,7.7686,5.41,5.3043,2.5133,3.483,4.7149,4.2476,6.8369,4.6101,4.7663,8.7633,5.6766,6.059,7.4816,-0.2727
201905,-6.94,-1.6856,-5.4642,-6.4563,-7.1596,-9.9084,-3.9201,-7.965,-6.2854,-5.0215,-8.0643,-7.457,-6.3818,-6.3274,-2.5026,-6.65,-9.5903,-12.2622,-8.745,-6.4034,-11.9312,-9.5632,-4.5749,-7.6455,-6.0912,-9.7519,-6.0584,-6.7263,-9.3307,-11.4728,-10.77,-9.5027,-11.4579,-7.9309,-7.9746,-6.1412,-7.1959,-13.2629,-12.1225,-6.9837,-14.963,-5.5102,-4.0681,-8.3177,-9.3652,-7.3818,-7.5963,-7.3163,-10.7058,-11.6613,-7.5799,-4.5317,-6.7521,-9.4685,-7.8277,-7.2858,-8.6042,-4.5053,-11.341,-9.6746,-12.7917
201906,6.93,5.9745,3.2656,1.5174,6.4727,8.309,3.7341,5.9167,5.3367,3.745,4.7849,9.4675,10.0433,8.773,5.1447,2.7208,5.5808,9.0859,6.1109,5.0642,5.4323,12.9993,8.9209,9.615,6.8809,7.4215,6.5909,7.0666,5.7286,8.9016,7.3047,6.2476,8.0495,8.269,10.4318,11.978,9.3686,6.5766,7.8584,6.7609,2.5336,5.6519,8.4326,9.239,5.9982,8.7105,9.2508,8.7706,6.2003,6.6041,7.4809,13.0404,9.7032,9.5736,7.5642,6.3492,7.6895,4.2555,7.8851,7.7871,2.604
201907,1.19,-3.9445,1.323,-5.4681,-4.5321,-8.1548,-4.1038,-3.1827,-1.1595,-1.7819,-3.5873,-1.9889,-5.6336,2.4537,-2.5854,0.3226,0.9929,-2.1441,-1.1208,0.0659,-5.9302,-3.2878,-5.7287,-3.4291,2.7374,-1.4687,3.4246,2.4154,-1.0771,2.1501,-0.9299,-1.9534,-2.1882,0.1339,3.1822,1.1394,0.5993,0.4056,1.6146,2.6339,-10.2267,4.6945,-2.0494,1.3218,1.1451,0.6728,0.9392,-1.0018,0.1896,-3.1106,1.6326,6.0381,2.9974,-0.3699,4.2632,-0.0687,1.0457,-1.0608,1.1457,3.8529,1.7663
201908,-2.58,-2.3747,-7.3214,-5.0466,-7.3667,-7.2443,-6.6809,-7.3717,-4.9756,-4.1158,-8.63,-1.4972,-7.9155,-4.887,-6.5381,-8.703,-7.1667,-4.617,-8.5162,-9.7116,-11.684,-3.4402,-8.7418,-6.1771,-6.221,-5.1314,-4.6288,-4.2537,-5.555,-9.7316,-11.395,4.3588,0.532,-10.0084,-5.7962,-3.1419,-5.5875,-6.6224,-7.0153,-6.5095,-17.4961,-3.7465,-5.3293,-4.9885,-5.2705,-9.2931,-5.0007,-8.0476,-5.6134,-8.6622,-19.7961,-5.5564,-6.2083,-3.3752,-2.6403,-0.8661,-5.5941,-10.2449,-5.6399,-10.533,-10.2671
201909,1.43,-1.4461,-0.0807,0.8181,0.4211,-1.2753,-0.1345,3.788,3.133,6.1301,6.8101,-2.79,-6.4048,-1.1253,0.3853,7.5794,3.0361,5.439,7.2869,9.0164,6.7538,-5.2593,2.0549,-0.961,3.5798,0.4487,6.5031,5.6343,4.5662,4.1349,4.8481,-2.877,-1.1335,-0.488,4.8413,3.5608,4.6672,5.9042,5.9075,3.9695,2.6964,-6.8274,-2.1422,-2.2726,3.6187,3.5401,3.0851,4.2053,6.4155,5.4199,5.8898,-3.7199,-0.9584,1.9971,1.6645,2.9852,3.5582,9.7361,5.7886,7.5246,6.2557
201910,2.06,2.3455,-3.5116,-2.0105,-5.2842,-0.733,-1.9875,-0.1169,-1.6298,0.5186,-3.102,-1.5176,4.1113,4.3581,-0.5222,-0.6324,3.7378,3.0444,1.5189,3.542,-6.1743,-0.1578,1.4023,4.0516,3.1477,1.706,1.3465,4.5596,0.8741,-0.1088,2.5969,5.3945,4.8075,9.5028,2.2612,1.0714,2.2063,2.1276,1.8384,4.1809,-2.5563,9.2188,5.3022,1.9243,4.7713,2.0128,2.0396,4.1789,-0.0052,-0.3513,-1.4087,-0.3449,3.3427,1.7524,0.0892,0.6215,1.5691,2.3787,4.7946,1.1075,0.861
201911,3.87,0.1332,5.528,1.4285,2.7264,3.8663,5.8969,1.4929,5.3952,3.094,3.7608,12.4081,8.4326,4.5473,11.4061,4.5279,1.5757,1.1261,4.5699,3.644,6.7641,10.4519,12.4315,7.7769,4.1784,3.148,4.052,4.6429,2.5561,7.1443,2.6981,8.0214,6.7575,-1.7263,4.8111,3.4424,2.6914,2.8962,3.6052,2.1745,-6.0424,11.5038,4.6545,1.6155,1.8525,1.7869,1.4723,3.8959,4.8037,4.37,6.6524,7.4398,3.3189,7.4242,2.259,3.2037,-0.5494,7.4386,4.5473,3.5414,1.9947
201912,2.77,2.4083,1.7671,8.5858,3.4193,3.3763,4.4877,2.7038,5.0467,2.682,12.6847,7.4379,1.9649,9.0892,23.2946,-0.9729,4.0737,6.0386,5.5603,5.6456,7.7885,13.1813,2.8922,1.569,2.0753,11.139,6.8194,2.1456,4.4559,3.5627,7.7703,0.4611,3.751,1.999,2.08,6.8198,2.9829,1.3595,2.0569,3.9737,22.9433,-1.9089,1.5117,3.735,3.1526,5.8021,3.6633,1.5067,2.8516,3.7901,4.0213,-1.1177,2.8022,2.3069,3.1532,2.9557,4.2535,4.8464,-0.1618,3.7531,0.9819
